Category,Krabi
0:00,82.29
0:15,76.58
0:30,76.59
0:45,76.43
1:00,76.13
1:15,75.9
1:30,75.97
1:45,76.98
2:00,72.75
2:15,72.76
2:30,72.66
2:45,72.69
3:00,72.47
3:15,72.36
3:30,72.48
3:45,73.66
4:00,73.7
4:15,74.05
4:30,73.95
4:45,74.14
5:00,74.6
5:15,75.5
5:30,75.14
5:45,75.42
6:00,75.69
6:15,80.02
6:30,81.01
6:45,80.97
7:00,80.34
7:15,79.7
7:30,78.98
7:45,78.83
8:00,80.08
8:15,77.93
8:30,81.67
8:45,81.51
9:00,80.27
9:15,82.47
9:30,82.31
9:45,82.54
10:00,82.62
10:15,83.11
10:30,83.39
10:45,83.64
11:00,87.01
11:15,88.65
11:30,87.18
11:45,87.4
12:00,87.14
12:15,85.32
12:30,84.81
12:45,84.24
13:00,80.53
13:15,84.62
13:30,84.99
13:45,84.71
14:00,85.05
14:15,85.34
14:30,85.27
14:45,84.79
15:00,85.62
15:15,84.37
15:30,84.24
15:45,84.34
16:00,84.4
16:15,85.82
16:30,85.63
16:45,86.12
17:00,85.76
17:15,85.95
17:30,87.58
17:45,87.8
18:00,88.89
18:15,88.26
18:30,86.82
18:45,87.45
19:00,95.03
19:15,93.08
19:30,93.4
19:45,93.46
20:00,92.95
20:15,93.37
20:30,92.86
20:45,92.21
21:00,91.93
21:15,91.6
21:30,95.41
21:45,94.66
22:00,94.84
22:15,91.11
22:30,91.27
22:45,91.36
23:00,91.93
23:15,91.73
23:30,87.36
23:45,87.38
