Category,Krabi
0:00,84.31
0:15,75.87
0:30,84.3
0:45,80.17
1:00,71.16
1:15,79.78
1:30,79.18
1:45,78.6
2:00,77.64
2:15,77.86
2:30,77.44
2:45,77.47
3:00,78.1
3:15,75.29
3:30,75.49
3:45,76.6
4:00,76.49
4:15,76.89
4:30,76.33
4:45,75.63
5:00,75.92
5:15,76.27
5:30,76.34
5:45,76.3
6:00,81.11
6:15,82.11
6:30,82.71
6:45,80.96
7:00,81.64
7:15,80.71
7:30,80.09
7:45,80.05
8:00,79.75
8:15,84
8:30,86.28
8:45,87.64
9:00,90.46
9:15,87.98
9:30,86.47
9:45,89.82
10:00,90.29
10:15,90.27
10:30,90.36
10:45,88.44
11:00,89.52
11:15,92.15
11:30,93.51
11:45,93.38
12:00,94.04
12:15,93.65
12:30,93.19
12:45,94.26
13:00,92.76
13:15,92.63
13:30,93.57
13:45,99.46
14:00,100.48
14:15,100.17
14:30,99.82
14:45,100.77
15:00,100.77
15:15,100.55
15:30,101.15
15:45,102.09
16:00,100.22
16:15,98.08
16:30,97.91
16:45,96.55
17:00,96.92
17:15,98.38
17:30,98.27
17:45,97.75
18:00,97.92
18:15,95.92
18:30,95.5
18:45,98.07
19:00,97.92
19:15,98.15
19:30,96.64
19:45,97.04
20:00,96.36
20:15,95.15
20:30,93.62
20:45,93.13
21:00,92.53
21:15,89.36
21:30,88.84
21:45,88.36
22:00,90.94
22:15,92.81
22:30,90.34
22:45,90.48
23:00,90.85
23:15,90.31
23:30,84.91
23:45,85.48
