Category,Krabi
0:00,72.85
0:15,72.33
0:30,72.36
0:45,72.1
1:00,71.96
1:15,72.5
1:30,69.58
1:45,69.97
2:00,70.45
2:15,70.54
2:30,70.34
2:45,70.29
3:00,67.96
3:15,67.85
3:30,67.81
3:45,68.05
4:00,67.34
4:15,67.63
4:30,67.74
4:45,68.03
5:00,67.84
5:15,67.99
5:30,68.5
5:45,68.63
6:00,73.99
6:15,74.7
6:30,72.46
6:45,75.89
7:00,74.29
7:15,75.02
7:30,74.31
7:45,72.68
8:00,71.59
8:15,73.74
8:30,75.5
8:45,73.86
9:00,76.47
9:15,76.95
9:30,77.82
9:45,82.56
10:00,80.49
10:15,80.81
10:30,81.29
10:45,81.96
11:00,81.16
11:15,80.11
11:30,79.53
11:45,79.73
12:00,79.21
12:15,79.35
12:30,79.51
12:45,79.57
13:00,80.05
13:15,81.1
13:30,76.9
13:45,77.84
14:00,77.46
14:15,77.28
14:30,76.87
14:45,76.31
15:00,76.18
15:15,76.91
15:30,76.75
15:45,76.59
16:00,78.5
16:15,79.01
16:30,80.08
16:45,79.82
17:00,79.71
17:15,82.42
17:30,82.43
17:45,82.8
18:00,82.75
18:15,83.96
18:30,90.18
18:45,91.19
19:00,91.55
19:15,89.38
19:30,89
19:45,88.9
20:00,86.66
20:15,85.19
20:30,83.91
20:45,83.88
21:00,82.53
21:15,81.96
21:30,82.37
21:45,82.02
22:00,84.21
22:15,85.81
22:30,81.25
22:45,82.28
23:00,81.84
23:15,82.35
23:30,77.4
23:45,77.48
