Category,Krabi
0:00,85.655
0:15,82.84
0:30,81.96
0:45,81.725
1:00,81.395
1:15,80.895
1:30,80.225
1:45,80.425
2:00,79.87
2:15,79.29
2:30,76.82
2:45,76.38
3:00,76.765
3:15,75.655
3:30,75.245
3:45,74.945
4:00,74.365
4:15,75.145
4:30,74.87
4:45,74.935
5:00,75.395
5:15,76.53
5:30,77.01
5:45,77.21
6:00,77.625
6:15,80.005
6:30,81.12
6:45,81.125
7:00,79.76
7:15,80.595
7:30,80.115
7:45,79.505
8:00,80.02
8:15,80.98
8:30,82.905
8:45,85.4
9:00,79.63
9:15,84.855
9:30,85.52
9:45,86.075
10:00,86.965
10:15,89.055
10:30,88.855
10:45,89.035
11:00,88.565
11:15,86.65
11:30,89.555
11:45,89.965
12:00,90.265
12:15,89.33
12:30,85.735
12:45,89.08
13:00,86.355
13:15,88.97
13:30,90.44
13:45,90.78
14:00,89.725
14:15,89.775
14:30,90.785
14:45,90.775
15:00,90.765
15:15,90.875
15:30,90.74
15:45,92.38
16:00,90.88
16:15,90.82
16:30,84.85
16:45,89.27
17:00,88.565
17:15,88.165
17:30,87.93
17:45,88.345
18:00,87.93
18:15,88.645
18:30,89.775
18:45,91.695
19:00,93.05
19:15,94.135
19:30,94.03
19:45,94.135
20:00,93.38
20:15,92.855
20:30,92.99
20:45,92.615
21:00,92.07
21:15,91.655
21:30,92.41
21:45,91.95
22:00,91.735
22:15,94.22
22:30,92.075
22:45,91.41
23:00,90.6
23:15,89.13
23:30,88.315
23:45,85.5
