Category,Krabi
0:00,88.14
0:15,88.66
0:30,87.78
0:45,83.87
1:00,83.74
1:15,83.7
1:30,83.85
1:45,83.8
2:00,83.69
2:15,83.55
2:30,83.39
2:45,83.49
3:00,83.52
3:15,79.5
3:30,82.73
3:45,82.21
4:00,82.21
4:15,82.23
4:30,80.72
4:45,80.02
5:00,80.21
5:15,80.3
5:30,80.67
5:45,81.41
6:00,81.59
6:15,82.1
6:30,82.02
6:45,81.91
7:00,81.65
7:15,81.23
7:30,81.2
7:45,80.78
8:00,79.26
8:15,85.27
8:30,82.26
8:45,82.13
9:00,86.25
9:15,86.77
9:30,85.9
9:45,86.08
10:00,85.88
10:15,85.6
10:30,85.64
10:45,81.99
11:00,81.38
11:15,89.88
11:30,89.78
11:45,89.36
12:00,88.9
12:15,89.5
12:30,89.39
12:45,89.27
13:00,89.38
13:15,85.2
13:30,85.55
13:45,85.48
14:00,85.47
14:15,85.04
14:30,85.11
14:45,86.25
15:00,86.57
15:15,86.31
15:30,86.19
15:45,86.81
16:00,87.89
16:15,
16:30,
16:45,85.91
17:00,86.77
17:15,87.12
17:30,86.96
17:45,86.64
18:00,90.71
18:15,90.78
18:30,90.77
18:45,91.03
19:00,90.87
19:15,90.02
19:30,90.18
19:45,89.98
20:00,90.22
20:15,89.32
20:30,91.28
20:45,91.45
21:00,88.61
21:15,88.16
21:30,88.31
21:45,88.58
22:00,85.52
22:15,93.65
22:30,93.07
22:45,88.85
23:00,88.19
23:15,88.26
23:30,87.68
23:45,87.75
