Category,Krabi
0:00,84.19
0:15,83.92
0:30,83.61
0:45,83.63
1:00,84.21
1:15,83.43
1:30,80.59
1:45,79.33
2:00,79.25
2:15,80.48
2:30,79.48
2:45,77.96
3:00,78.11
3:15,78.92
3:30,78.21
3:45,78.1
4:00,77.87
4:15,80.35
4:30,79.37
4:45,79.66
5:00,79.86
5:15,80.28
5:30,80.57
5:45,81.03
6:00,82.05
6:15,83.04
6:30,82.71
6:45,81.81
7:00,81.61
7:15,80.29
7:30,79.55
7:45,79.68
8:00,82.96
8:15,85.82
8:30,90.42
8:45,91.21
9:00,94.71
9:15,93.29
9:30,91.47
9:45,90.88
10:00,95.61
10:15,96.62
10:30,97.2
10:45,95.89
11:00,96.12
11:15,96.8
11:30,97.09
11:45,97.09
12:00,94.96
12:15,98.1
12:30,97.62
12:45,94.23
13:00,93.5
13:15,95.37
13:30,96.11
13:45,96.3
14:00,97.08
14:15,96.29
14:30,95.99
14:45,95.68
15:00,95.63
15:15,95.02
15:30,94.28
15:45,95.33
16:00,94.47
16:15,95.22
16:30,94.62
16:45,93.88
17:00,94.14
17:15,88.78
17:30,87.15
17:45,81.99
18:00,82.51
18:15,83.21
18:30,85.6
18:45,88.81
19:00,89.7
19:15,94.54
19:30,94.82
19:45,93.73
20:00,92.78
20:15,92.97
20:30,92.61
20:45,92.1
21:00,92.29
21:15,91.85
21:30,92.18
21:45,92.03
22:00,95.1
22:15,93.48
22:30,93.16
22:45,93.77
23:00,93.63
23:15,88.96
23:30,89.09
23:45,88.88
