Category,Krabi
0:00,85.18
0:15,85.18
0:30,85.37
0:45,85.28
1:00,80.51
1:15,78.74
1:30,78.82
1:45,79.04
2:00,76.8
2:15,76.1
2:30,75.95
2:45,75.13
3:00,75.04
3:15,75
3:30,74.55
3:45,74.52
4:00,67.09
4:15,74.31
4:30,73.3
4:45,74.31
5:00,74.14
5:15,74.31
5:30,74.77
5:45,77.91
6:00,78.11
6:15,79.34
6:30,79.63
6:45,79.62
7:00,70.89
7:15,80.81
7:30,81.34
7:45,80.55
8:00,79.49
8:15,79.16
8:30,82.29
8:45,81.85
9:00,83
9:15,81.98
9:30,82.17
9:45,81.79
10:00,82.02
10:15,82.52
10:30,81.56
10:45,84.42
11:00,84.16
11:15,84.47
11:30,84.51
11:45,75.33
12:00,83.36
12:15,83.14
12:30,83.56
12:45,83.49
13:00,80.35
13:15,80.65
13:30,72.86
13:45,83.14
14:00,83.05
14:15,83.72
14:30,83.72
14:45,83.72
15:00,83.44
15:15,82.93
15:30,82.88
15:45,83.17
16:00,79.85
16:15,80.16
16:30,80.56
16:45,80.86
17:00,81.77
17:15,83.14
17:30,86.36
17:45,88.85
18:00,89.2
18:15,94.53
18:30,94.43
18:45,95.09
19:00,93.43
19:15,93.15
19:30,92.9
19:45,92.96
20:00,83.16
20:15,91.73
20:30,91.7
20:45,91.32
21:00,91.11
21:15,78.58
21:30,87.42
21:45,86.92
22:00,91.4
22:15,79.96
22:30,88.2
22:45,87.83
23:00,87.76
23:15,87.65
23:30,75.55
23:45,83.5
