Category,Krabi
0:00,85.75
0:15,85.52
0:30,85.17
0:45,85.32
1:00,80.71
1:15,80.49
1:30,80.95
1:45,82.21
2:00,80.33
2:15,80.52
2:30,80.84
2:45,80.45
3:00,80.33
3:15,75.18
3:30,75.23
3:45,75.2
4:00,75.37
4:15,75.21
4:30,75.36
4:45,75.58
5:00,75.68
5:15,75.73
5:30,75.46
5:45,75.33
6:00,75.38
6:15,80.2
6:30,79.42
6:45,79.72
7:00,78.67
7:15,78.16
7:30,76.31
7:45,76.44
8:00,76.19
8:15,77.1
8:30,76.32
8:45,81.2
9:00,80.83
9:15,81.11
9:30,82.25
9:45,86.37
10:00,86.56
10:15,85.81
10:30,85.71
10:45,85.48
11:00,85.32
11:15,84.96
11:30,84.58
11:45,84.16
12:00,83.58
12:15,84.1
12:30,84.06
12:45,84.38
13:00,83.69
13:15,84.21
13:30,84.56
13:45,84.98
14:00,84.91
14:15,85.46
14:30,93.49
14:45,89.4
15:00,89.2
15:15,88.69
15:30,88.46
15:45,88.64
16:00,88.09
16:15,86.75
16:30,87.46
16:45,86.97
17:00,85.13
17:15,83.39
17:30,83.11
17:45,82.48
18:00,82.88
18:15,82.46
18:30,82.56
18:45,82
19:00,87.25
19:15,90.3
19:30,85.79
19:45,85.46
20:00,86.1
20:15,86.49
20:30,85.36
20:45,85.63
21:00,85.86
21:15,84.85
21:30,86.06
21:45,85.31
22:00,84.7
22:15,91.49
22:30,91.36
22:45,92.59
23:00,91.81
23:15,87.3
23:30,87.39
23:45,86.21
