Category,Krabi,NakhonSiThammarat,PhangNga,Phuket,SuratThani,Trang,Total,Peak(2017-04-22),Yesterday
0:00,85.22,188.52,76.1,208.59,261.04,99.74,919.21,999.39,931.65
0:15,83.45,175.55,75.86,209.08,260.96,99.3,904.2,988.15,938.66
0:30,84.21,174.57,74.05,202.77,255.98,98.48,890.06,963.08,920.7
0:45,83.08,176.07,73.99,199.14,254.93,98.93,886.14,951,911.24
1:00,82.44,176.33,73.01,195.16,256,97.35,880.29,945.59,901.45
1:15,83.3,175.06,71.84,197.08,261.12,96.6,885,936.75,898.46
1:30,82.54,173.51,71.68,195,251.41,96.87,871.01,931.97,890.88
1:45,81.22,173.58,71.05,193.22,247.08,94.83,860.98,926.75,878.94
2:00,80.77,173.11,70.79,190.39,245.92,92.9,853.88,923.48,873.86
2:15,80.87,172.31,70.61,189.58,247.34,93.56,854.27,920.02,867.97
2:30,77.34,170.61,70.02,188.04,246.08,93.46,845.55,912.86,864.11
2:45,77.29,172.02,69.13,187.01,244.84,93.75,844.04,909.91,861.57
3:00,77.22,171.58,69.22,185.61,244.14,94.89,842.66,908.46,856.16
3:15,77.2,173.7,69.58,186.99,241.63,95.04,844.14,897.05,848.28
3:30,76.96,169.24,69.55,190.57,241.21,94.29,841.82,891.78,855.95
3:45,76.89,171.31,69.88,188.9,238.42,93.35,838.75,887.43,852.61
4:00,76.81,168.71,69.76,189.49,236.49,92.17,833.43,895.1,848.7
4:15,77.07,168.93,70.26,187.63,238.84,91.45,834.18,899.51,849.75
4:30,77.09,170.32,70.14,185.62,239.52,92.67,835.36,898.12,854.35
4:45,77.19,173.25,70.58,184.67,242.44,93.73,841.86,897.76,860.22
5:00,77.33,171.53,71.23,183.54,242.02,93.71,839.36,897.95,865.75
5:15,77.95,174.89,72.55,184.91,245.24,96.32,851.86,905.48,873.3
5:30,78.34,175.63,73.96,186.31,248.8,98.55,861.59,913.1,889.02
5:45,83.48,180.02,74.61,186.78,252.61,98.31,875.81,924.8,896.98
6:00,79.92,185.06,76.3,190.32,253.01,99.23,883.84,935.51,909.35
6:15,79.3,190.79,77.84,191.93,255.98,103.76,899.6,932.94,927.4
6:30,80.73,184.74,76.89,187.98,263.98,105.48,899.8,913.17,929.47
6:45,81.9,180.44,72.98,182.82,262.22,101.35,881.71,944.54,914.04
7:00,81.72,179.11,69.54,183.22,256.33,97.8,867.72,927.9,899.53
7:15,81.7,173.97,68.39,185.98,258.4,95.54,863.98,934.27,898.05
7:30,81.59,174.59,68.34,188.86,257.39,93.88,864.65,938.76,896.65
7:45,78.03,170.84,68.09,193.53,259.96,93.42,863.87,946.83,900.88
8:00,80.71,175.2,69.58,200.23,259.28,96.94,881.94,966.89,912.78
8:15,80.28,179.26,71.62,211.57,272.9,102.54,918.17,1004.39,945.69
8:30,85.04,183.09,74.04,224.61,279.13,104.28,950.19,1055.35,975.08
8:45,85.65,182.85,75.15,234.69,282.99,105.74,967.07,1076.98,982.55
9:00,86.78,185.8,75.65,330.33,284.28,108.09,1070.93,1088.44,978.76
9:15,86.02,175.6,77.43,339.27,286.37,109.62,1074.31,1053.45,977.71
9:30,89.32,179.39,78.63,252.01,287.29,112.88,999.52,1054.83,982.85
9:45,89.29,175.43,79.57,260.4,294.99,113.99,1013.67,1068.46,986.96
10:00,88.5,172.96,80.62,265.43,297.36,114.61,1019.48,1072.25,1090.91
10:15,91.31,174.69,81.43,270.5,297.36,117.55,1032.84,1132.46,1104.89
10:30,88.14,174.62,81.75,271.28,303.08,118.06,1036.93,1295.58,1108.44
10:45,88.08,172.01,81.65,277.5,306.66,120.21,1046.11,1158.23,1016.57
11:00,88.38,174.26,81.59,280.21,305.46,121.47,1051.37,1116.65,1026.33
11:15,92.32,175.39,82.22,280.65,309.04,122.3,1061.92,1120.65,1018.9
11:30,92.4,172.28,82.98,277.87,310.66,122.01,1058.2,1296.26,1024.14
11:45,92.2,173.22,82.71,277.42,309.83,120.23,1055.61,1244.97,1118.66
12:00,92.6,169.43,81.96,276.87,304.4,114.41,1039.67,1229.1,993.08
12:15,92.91,169.16,79.93,272.63,294.97,109.81,1019.41,1201.15,964.64
12:30,92.57,169.81,80.04,274.58,294.94,109.25,1021.19,1197.64,954.17
12:45,93.07,172.44,80.62,275.26,294.15,110.61,1026.15,1200.67,1053.35
13:00,92.54,172.51,80.74,279.82,299.32,111.39,1036.32,1206.13,1061.52
13:15,93.48,179.52,84.83,285.48,312.97,120.88,1077.16,1254,1095.89
13:30,93.61,180.87,86.34,291.09,320.47,123.33,1095.71,1266.8,1118.31
13:45,93,181.05,88.25,296.93,323.54,124.87,1107.64,1280.34,1024.79
14:00,93.86,181.46,88.79,299.13,323.87,123.85,1110.96,1283.45,1027.66
14:15,98.75,184.38,89.53,294.01,323.89,124.93,1115.49,1291.68,1130.29
14:30,98.82,185.1,89.03,297.28,321.52,124.18,1115.93,1284.87,1137.71
14:45,97.68,185.06,88.71,298.45,317.2,123.33,1110.43,1285.38,1031.64
15:00,97.74,184.15,88.35,298.82,310.02,122.85,1101.93,1280.78,1030.37
15:15,98.15,184.65,87.65,297.94,308.68,120.51,1097.58,1279.54,1024.77
15:30,96.24,183.03,87.62,296.85,306.93,120.1,1090.77,1279.27,1124.56
15:45,91.19,180.7,87.96,300.06,305.46,120.24,1085.61,1277.77,1099.09
16:00,90.56,171.78,87.26,294.81,303.23,117.84,1065.48,1273.99,1090
16:15,91.79,168.61,88.12,294.98,306.56,117.25,1067.31,1266.32,1099.09
16:30,90.15,168.38,88.16,294.21,306.33,116.59,1063.82,1261.15,1093.93
16:45,90.08,164.97,87.43,291.87,300.29,114.6,1049.24,1249.79,1086.24
17:00,89.81,160.03,86.14,286.83,297.15,110.3,1030.26,1230.79,1070.72
17:15,85.18,155.82,84.36,278.66,290.99,105,1000.01,1204.08,1061.37
17:30,84.81,154.42,84.18,274.99,283.48,104.93,986.81,1204.86,1061.38
17:45,85.07,151.17,85.11,271.55,279.2,105.25,977.35,1197.68,1065.71
18:00,84.87,152.48,85.73,268.07,274.61,104.65,970.41,1200.45,1074.3
18:15,84.92,144.17,88.68,269.12,284.59,106.85,978.33,1194.45,1089.2
