Category,Krabi
0:00,85.71
0:15,82.08
0:30,81.75
0:45,80.46
1:00,80.47
1:15,80.41
1:30,80.11
1:45,80.05
2:00,77.11
2:15,77.26
2:30,77.39
2:45,77.1
3:00,72.4
3:15,77.12
3:30,77.07
3:45,77.05
4:00,77.12
4:15,77.26
4:30,77.27
4:45,77.52
5:00,77.44
5:15,77.57
5:30,77.94
5:45,78.51
6:00,78.89
6:15,80.8
6:30,81.06
6:45,80.61
7:00,80.2
7:15,79.99
7:30,79.07
7:45,79.1
8:00,77.01
8:15,78.18
8:30,82.15
8:45,81.03
9:00,81.01
9:15,81.63
9:30,80.03
9:45,79.99
10:00,80.66
10:15,83
10:30,82.72
10:45,84.67
11:00,82.8
11:15,0
11:30,84.58
11:45,84.66
12:00,84.5
12:15,85.24
12:30,84.95
12:45,85.49
13:00,84.26
13:15,85.94
13:30,84.78
13:45,84.62
14:00,90.65
14:15,88.2
14:30,88.85
14:45,88.82
15:00,87.94
15:15,87.97
15:30,88.08
15:45,87.23
16:00,77.57
16:15,77.39
16:30,78.14
16:45,78.35
17:00,78.34
17:15,77.95
17:30,70.49
17:45,70.08
18:00,79.97
18:15,79.66
18:30,80.88
18:45,81.39
19:00,81.9
19:15,88.41
19:30,87.96
19:45,87.78
20:00,87.49
20:15,87.25
20:30,89.69
20:45,87.39
21:00,87.34
21:15,87.15
21:30,86.99
21:45,86.56
22:00,87.08
22:15,90.07
22:30,89.95
22:45,89.42
23:00,89.38
23:15,86
23:30,86.01
23:45,86.38
