Category,Krabi
0:00,80.72
0:15,79.95
0:30,77.2
0:45,77.49
1:00,76.35
1:15,75.07
1:30,73.97
1:45,72.73
2:00,73.96
2:15,72.68
2:30,72.03
2:45,72.19
3:00,71.78
3:15,71.55
3:30,70.95
3:45,71.38
4:00,70.55
4:15,71.54
4:30,70.79
4:45,71.36
5:00,71.99
5:15,72.23
5:30,72.4
5:45,73.74
6:00,81.42
6:15,76.68
6:30,77.53
6:45,77.57
7:00,77.63
7:15,77.8
7:30,77.08
7:45,76.02
8:00,77.03
8:15,78.81
8:30,81.12
8:45,82.68
9:00,84.09
9:15,82.89
9:30,82.76
9:45,84.47
10:00,85.96
10:15,85.52
10:30,85.89
10:45,83.25
11:00,82.76
11:15,85.21
11:30,83.33
11:45,84.83
12:00,83.03
12:15,81.29
12:30,80.92
12:45,82.31
13:00,82.95
13:15,85.57
13:30,85.32
13:45,85.67
14:00,85.7
14:15,87.24
14:30,87.07
14:45,86.77
15:00,84.95
15:15,85.41
15:30,84.14
15:45,84.49
16:00,85.62
16:15,85.69
16:30,84.02
16:45,90.28
17:00,91.17
17:15,90.58
17:30,90.25
17:45,89.97
18:00,87.63
18:15,90.08
18:30,96.52
18:45,103.93
19:00,105.9
19:15,105.08
19:30,103.95
19:45,100.73
20:00,97.74
20:15,96.4
20:30,95.31
20:45,93.24
21:00,91.95
21:15,90.22
21:30,89.91
21:45,89.09
22:00,87.67
22:15,90.71
22:30,89.22
22:45,87.42
23:00,85.86
23:15,83.73
23:30,81.48
23:45,80.33
