Category,Krabi
0:00,87.49
0:15,82.98
0:30,82.2
0:45,82.09
1:00,81.55
1:15,81.76
1:30,81.76
1:45,82.04
2:00,82.05
2:15,78.07
2:30,77.85
2:45,78.02
3:00,77.98
3:15,77.9
3:30,77.99
3:45,78.06
4:00,77.99
4:15,78.07
4:30,80.01
4:45,78.32
5:00,78.42
5:15,78.7
5:30,78.74
5:45,78.94
6:00,79.56
6:15,84.04
6:30,84.4
6:45,84.94
7:00,84.33
7:15,82.11
7:30,80.65
7:45,80.46
8:00,80.25
8:15,80.01
8:30,81.05
8:45,84.79
9:00,84.01
9:15,87.35
9:30,85.91
9:45,85.53
10:00,85.37
10:15,85.63
10:30,85.53
10:45,85.08
11:00,85.15
11:15,86.03
11:30,86.92
11:45,84.66
12:00,87.29
12:15,86.31
12:30,85.49
12:45,86.37
13:00,86.01
13:15,85.1
13:30,83.83
13:45,83.52
14:00,83.62
14:15,88.02
14:30,88.05
14:45,87.43
15:00,88.8
15:15,87.5
15:30,87.32
15:45,87.45
16:00,87.09
16:15,86.74
16:30,87.47
16:45,86.67
17:00,87.05
17:15,83.63
17:30,84.48
17:45,84.74
18:00,84.62
18:15,85.01
18:30,85.48
18:45,91.26
19:00,92.11
19:15,92.18
19:30,96.75
19:45,92.77
20:00,92.98
20:15,93.08
20:30,92.68
20:45,92.39
21:00,91.96
21:15,86.18
21:30,85.88
21:45,85.53
22:00,85.67
22:15,87.95
22:30,88.67
22:45,89.19
23:00,88.83
23:15,83.74
23:30,83.81
23:45,83.55
