Category,Krabi
0:00,75.71
0:15,77.12
0:30,77.07
0:45,73.99
1:00,73.47
1:15,74.36
1:30,74.47
1:45,74.49
2:00,74.45
2:15,74.45
2:30,74.62
2:45,74.8
3:00,74.98
3:15,74.68
3:30,74.18
3:45,73.47
4:00,73.63
4:15,70.66
4:30,70.78
4:45,69.63
5:00,69.67
5:15,71.3
5:30,71.27
5:45,71.68
6:00,71.9
6:15,75.62
6:30,74.34
6:45,78.65
7:00,78.38
7:15,78.16
7:30,77.72
7:45,77.32
8:00,75.67
8:15,76.32
8:30,78.38
8:45,77.17
9:00,81.11
9:15,75.59
9:30,76.13
9:45,80.34
10:00,77.98
10:15,77.84
10:30,76.98
10:45,77.92
11:00,77.3
11:15,80.36
11:30,75.93
11:45,80.21
12:00,80.55
12:15,84.01
12:30,89.36
12:45,88.82
13:00,87.08
13:15,88.58
13:30,89.24
13:45,88.25
14:00,87.96
14:15,88.78
14:30,86.45
14:45,82.81
15:00,83.21
15:15,81.87
15:30,81.95
15:45,81.39
16:00,81.47
16:15,81.28
16:30,80.37
16:45,80.39
17:00,76.94
17:15,76.11
17:30,76.76
17:45,76.2
18:00,77.27
18:15,77.46
18:30,77.48
18:45,80.56
19:00,81.18
19:15,81.17
19:30,81.91
19:45,81.57
20:00,82.12
20:15,81.32
20:30,81.57
20:45,80.99
21:00,80.77
21:15,80.99
21:30,80.8
21:45,82.67
22:00,81.94
22:15,85.93
22:30,86.33
22:45,86.02
23:00,82.26
23:15,82.07
23:30,81.33
23:45,81.05
