Category,Krabi,NakhonSiThammarat,PhangNga,Phuket,SuratThani,Trang,Total,Peak(2017-04-22),Yesterday
0:00,79.65,181.37,68.78,238.19,294.62,99.79,962.4,999.39,891.3
0:15,80.41,176.96,68.24,234.7,300.92,99.91,961.14,988.15,904.36
0:30,78.26,174.91,67.43,231.13,297.3,98.69,947.72,963.08,890.25
0:45,78.06,176.1,66.98,228.55,294.83,97.37,941.89,951,882.79
1:00,76.77,176.04,65.34,221.33,291.8,95.52,926.8,945.59,875.29
1:15,77.2,173.82,64.92,218.3,288.26,94.18,916.68,936.75,867.99
1:30,76.28,174.43,64.06,215.52,286.2,93.06,909.55,931.97,857.78
1:45,75.63,174.79,64.07,215.74,285.7,92.67,908.6,926.75,852.65
2:00,75.95,171.42,63.79,211.17,284.74,89.88,896.95,923.48,853.24
2:15,75.67,166.08,63.53,209.28,283.13,89.86,887.55,920.02,849.19
2:30,75.61,169.12,62.9,208.62,277.78,89.33,883.36,912.86,837.49
2:45,75.51,164.65,63.19,205.28,278.37,88.67,875.67,909.91,833.37
3:00,75.39,164.34,62.87,203.57,276.81,87.27,870.25,908.46,832.34
3:15,74.98,163.22,63.37,203.9,278.22,89.59,873.28,897.05,836.61
3:30,75.08,166.18,63.2,199.7,283.7,89.83,877.69,891.78,836.93
3:45,75.08,164.41,63.09,199.65,283.25,87.47,872.95,887.43,838.82
4:00,71.03,166.21,62.9,198.73,281.38,89.97,870.22,895.1,837.45
4:15,71.17,166.95,63.29,198.41,281.55,89.71,871.08,899.51,846.91
4:30,71.31,166.38,63.88,199.4,279.81,89.42,870.2,898.12,845.7
4:45,71.38,166.74,63.96,198.02,278.6,88.36,867.06,897.76,848.28
5:00,71.45,170.39,65.21,200.12,281.08,90.88,879.13,897.95,856.17
5:15,72.03,171.84,66.51,202.43,287.71,92.25,892.77,905.48,881.07
5:30,72.22,174.76,68.14,202.73,298.7,94.83,911.38,913.1,887.18
5:45,72.51,178.79,69.44,207.35,304.57,97.59,930.25,924.8,914.98
6:00,76.98,184.85,70.9,210.21,310.88,101.2,955.02,935.51,942.07
6:15,71.65,181.85,71.47,215.06,310.32,102.23,952.58,932.94,946.57
6:30,76.47,175.26,68.66,212.28,307.32,97.74,937.73,913.17,921.95
6:45,76.13,165.24,66.08,210.45,302,93.84,913.74,944.54,898.47
7:00,75.88,160.71,63.36,208.87,286.08,89.08,883.98,927.9,877.44
7:15,75.88,154.3,62.54,210.67,284.12,87.73,875.24,934.27,865.07
7:30,75.73,155.42,61.84,212.55,285.81,85.11,876.46,938.76,863.45
7:45,76.08,153.67,61.78,217.48,281.84,84.41,875.26,946.83,861.93
8:00,75.62,156.1,63.12,226.23,286.08,91.48,898.63,966.89,874.02
8:15,79.95,161.63,66.11,237.35,298.41,97.22,940.67,1004.39,913.71
8:30,80.31,170.74,67.75,249.56,304.53,99.7,972.59,1055.35,941.06
8:45,80.6,170.85,69.91,258.1,307.21,105.5,992.17,1076.98,964.91
9:00,84.69,163.25,71.84,263.9,310.95,107.21,1001.84,1088.44,980.35
9:15,84.8,165.74,72.73,253.4,312.38,107.51,996.56,1053.45,985.31
9:30,81.14,159.84,73.51,269.43,316.81,107.96,1008.69,1054.83,988.72
9:45,82.91,160.05,74.43,273.17,320.98,110.08,1021.62,1068.46,1007.24
10:00,84.75,164.92,75.1,278.12,328.29,111.04,1042.22,1072.25,1027
10:15,77.48,163.88,75.04,280.96,331.48,111.36,1040.2,1132.46,1033.16
10:30,81.69,165.23,75.48,286,330.23,111.78,1050.41,1295.58,1035.64
10:45,81.74,167.78,74.68,285.88,333.89,115.11,1059.08,1158.23,1042.86
11:00,81.32,168.05,75.06,299.38,339.95,114.89,1078.65,1116.65,1047.44
11:15,81.83,164.75,74.32,298.91,345.15,116.37,1081.33,1120.65,1059.28
11:30,82.02,166.72,74.18,296.28,341.92,116.03,1077.15,1296.26,1051.5
11:45,81.9,163.83,74.44,294.82,340.62,112.56,1068.17,1244.97,967.23
12:00,81.26,163.14,71.57,292.63,321.31,105.73,1035.64,1229.1,1006.52
12:15,85.3,161.01,71.75,288.48,316.52,102.54,1025.6,1201.15,989.48
12:30,85.5,158.57,70.71,288.57,321.47,103.31,1028.13,1197.64,990.05
12:45,82.34,160.65,71.45,288.12,322.71,103.4,1028.67,1200.67,996.16
13:00,82.05,162.8,72.99,291.96,328.51,107.56,1045.87,1206.13,1009.61
13:15,82.7,171.94,76.36,296.52,342.48,117.18,1087.18,1254,1048.91
13:30,82.44,175.39,78.26,299.47,346.37,117.75,1099.68,1266.8,1069.12
13:45,85.88,173.87,79.13,312.95,353.23,118.93,1123.99,1280.34,1082.57
14:00,86.42,173.51,79.31,317.92,355.48,118.78,1131.42,1283.45,1079.79
14:15,88.87,177.28,79.2,316.09,348.03,119.05,1128.52,1291.68,1097.06
14:30,86.24,173.82,78.64,317.68,345.47,117.66,1119.51,1284.87,1098.45
14:45,86.06,178.02,77.33,315.86,346.75,117.63,1121.65,1285.38,1084.1
15:00,86.18,173.28,76.42,316.25,344.84,115.33,1112.3,1280.78,1092.05
15:15,86.1,172.33,75.53,316.76,340.02,115.91,1106.65,1279.54,1088.84
15:30,87.46,172.62,75.3,316.38,340.98,113.93,1106.67,1279.27,1086.6
15:45,87.63,174.79,74.92,313.97,331.59,111.36,1094.26,1277.77,1082.9
16:00,88.62,174.79,74.41,310.17,334.86,109.59,1092.44,1273.99,1061.87
16:15,88.43,172.58,74.07,301.67,334.43,107.77,1078.95,1266.32,1057.17
16:30,88.58,171.9,74.16,300.65,330.58,107.54,1073.41,1261.15,1044.38
16:45,89.19,168.56,73.29,293.17,322.95,105.16,1052.32,1249.79,1031.41
17:00,88.47,163.58,72.07,285.46,316.72,102.92,1029.22,1230.79,1012.5
17:15,85.99,159.82,71.57,282.95,313.36,98.81,1012.5,1204.08,989.99
17:30,85.8,160.32,71.39,280.72,310.74,99.86,1008.83,1204.86,988.27
17:45,85.83,161.13,72.52,278.86,312.23,98.83,1009.4,1197.68,976.71
18:00,85.84,163.16,72.41,278.25,310.66,97.97,1008.29,1200.45,982.85
18:15,85.82,164.92,73.11,281.68,312.63,98.95,1017.11,1194.45,993.71
18:30,85.72,173.42,75.61,283.95,313.82,104.23,1036.75,1231.17,1022.58
18:45,86.23,189.12,79.49,290.9,328.49,113.73,1087.96,1278.83,1071.03
19:00,86.32,195.34,86.61,294.07,337.41,123.49,1123.24,1328.77,1115.27
19:15,86.75,200.28,89.59,295.46,345.04,125.65,1142.77,1351.44,1134.88
19:30,87.02,203.67,90.54,297.92,349.39,127.23,1155.77,1357,1134.58
19:45,87.17,198.83,90.94,295.87,353.66,126.41,1152.88,1348.02,1129.59
20:00,87.23,202.78,90.36,294.67,351.92,123.31,1150.27,1348.58,1135.57
20:15,87.46,206.2,89.86,294.55,347.61,123.44,1149.12,1347.68,1133.77
20:30,87.36,199.04,89.63,293.74,345.51,120,1135.28,1353.18,1123.85
20:45,87.02,195.59,88.54,289.93,348.44,119.96,1129.48,1350.61,1121.23
21:00,85.29,198.26,87.82,288.55,343.22,118.2,1121.34,1337.17,1111.27
21:15,85.27,199.42,86.79,285.56,343.25,116.87,1117.16,1326.63,1097.37
21:30,85.14,195.36,84.98,282.8,338.89,114.13,1101.3,1315.72,1087.2
21:45,82.64,190.36,83.1,277.55,334.89,111.44,1079.98,1305.34,1069.25
22:00,87.39,188.96,80.6,274.98,329.22,110.89,1072.04,1298.75,1057.63
22:15,91.22,188.84,79.25,273.07,335.17,108.3,1075.85,1289.23,1064.22
22:30,90.51,189.33,79.48,270.44,334.78,107.84,1072.38,1266.5,1059.28
22:45,86.47,192.81,78.42,268.87,338.16,107.05,1071.78,1255.54,1048.46
23:00,87.12,187.53,76.57,263.65,333.66,104.5,1053.03,1237.26,1040.83
23:15,86.48,181.73,75.84,260.58,326.23,103.48,1034.34,1221.38,1015.92
23:30,85.93,180.07,74.9,257.55,326.93,100.34,1025.72,1198.82,994.56
23:45,81.13,176.82,73.58,252.26,313.55,99.78,997.12,1170.38,974.84
