Category,Krabi
0:00,92.75
0:15,91.74
0:30,91.41
0:45,91.19
1:00,90.99
1:15,91.3
1:30,91.14
1:45,90.78
2:00,86.57
2:15,86.62
2:30,86.62
2:45,86.41
3:00,86.53
3:15,86.82
3:30,86.73
3:45,82.33
4:00,82.24
4:15,82.01
4:30,82.3
4:45,82.41
5:00,82.32
5:15,82.97
5:30,82.93
5:45,82.98
6:00,83.2
6:15,84.36
6:30,83.25
6:45,82.69
7:00,83.05
7:15,82.75
7:30,82.09
7:45,83.41
8:00,83.49
8:15,83.91
8:30,87.15
8:45,87.14
9:00,90.13
9:15,85.69
9:30,89.46
9:45,91.51
10:00,91.03
10:15,91.12
10:30,91.34
10:45,91.56
11:00,95.46
11:15,94.8
11:30,94.69
11:45,94.51
12:00,96.59
12:15,95.26
12:30,95.62
12:45,95.58
13:00,94.75
13:15,94.83
13:30,95.46
13:45,95.4
14:00,95.34
14:15,95.48
14:30,100.24
14:45,99.88
15:00,100
15:15,99.63
15:30,99.8
15:45,99.49
16:00,98.69
16:15,94.26
16:30,94.61
16:45,91.94
17:00,91.69
17:15,90.86
17:30,91.14
17:45,91.61
18:00,91.78
18:15,91.79
18:30,92.04
18:45,92.9
19:00,97.8
19:15,98.31
19:30,98.77
19:45,99.06
20:00,98.94
20:15,101.51
20:30,101.02
20:45,100.74
21:00,100.17
21:15,100.25
21:30,100.43
21:45,100.39
22:00,103.67
22:15,105.64
22:30,105.58
22:45,106.38
23:00,101.15
23:15,102.75
23:30,102.24
23:45,101.79
