Category,Krabi
0:00,82.4
0:15,82.51
0:30,82.05
0:45,81.38
1:00,81.63
1:15,81.53
1:30,81.85
1:45,81.53
2:00,81.62
2:15,81.94
2:30,77.78
2:45,77.87
3:00,77.67
3:15,77.35
3:30,77.25
3:45,76.42
4:00,76.35
4:15,75.73
4:30,75.75
4:45,75.56
5:00,75.89
5:15,76.1
5:30,76.53
5:45,76.76
6:00,77.5
6:15,78.63
6:30,78.07
6:45,78.48
7:00,78.14
7:15,75.95
7:30,75.83
7:45,75.87
8:00,72.97
8:15,71.94
8:30,75.35
8:45,80.04
9:00,80.53
9:15,79.05
9:30,79.59
9:45,79.51
10:00,77.96
10:15,76.83
10:30,75.26
10:45,79.21
11:00,78.95
11:15,78.91
11:30,79.08
11:45,79.82
12:00,78.09
12:15,77.28
12:30,80.56
12:45,80.55
13:00,81.85
13:15,83.23
13:30,83.76
13:45,85.02
14:00,85.49
14:15,86.01
14:30,83.49
14:45,91.47
15:00,91.43
15:15,84.49
15:30,83.94
15:45,84.74
16:00,84.51
16:15,84.16
16:30,84
16:45,83.73
17:00,84.05
17:15,83.03
17:30,83.67
17:45,83
18:00,82.85
18:15,83.12
18:30,86.11
18:45,84.87
19:00,84.53
19:15,84.7
19:30,84.5
19:45,84.52
20:00,82.01
20:15,84.42
20:30,89.1
20:45,82.65
21:00,82.73
21:15,81.75
21:30,82.39
21:45,81.63
22:00,85.47
22:15,81.53
22:30,84.21
22:45,84.56
23:00,84.48
23:15,81.11
23:30,80.19
23:45,79.66
