Category,Krabi
0:00,62.26
0:15,67.81
0:30,67.7
0:45,64.66
1:00,64.77
1:15,63.68
1:30,55.24
1:45,54.7
2:00,54.85
2:15,54.75
2:30,61.21
2:45,61.29
3:00,61.13
3:15,61.99
3:30,53.22
3:45,60.09
4:00,59.94
4:15,60.04
4:30,58.9
4:45,58.85
5:00,59.23
5:15,60.71
5:30,61.21
5:45,62.28
6:00,66.29
6:15,67.59
6:30,69.96
6:45,74.37
7:00,80.87
7:15,80.31
7:30,80.15
7:45,72.01
8:00,80.64
8:15,77.28
8:30,76.3
8:45,80.61
9:00,82.99
9:15,74.46
9:30,74.14
9:45,81.94
10:00,80.96
10:15,83.01
10:30,84.12
10:45,83.78
11:00,83.92
11:15,84.2
11:30,83.46
11:45,83.53
12:00,
12:15,74.68
12:30,80.46
12:45,80.58
13:00,80.18
13:15,80.49
13:30,81.64
13:45,81.68
14:00,81.7
14:15,81.74
14:30,81.63
14:45,81.59
15:00,81.1
15:15,81.76
15:30,81.86
15:45,82.27
16:00,82.55
16:15,82.69
16:30,83.46
16:45,83.54
17:00,83.44
17:15,83.29
17:30,83.49
17:45,84.66
18:00,88.56
18:15,88.25
18:30,88.65
18:45,89.24
19:00,87.96
19:15,87.88
19:30,87.92
19:45,87.62
20:00,87.04
20:15,87.19
20:30,87.04
20:45,86.31
21:00,86.25
21:15,86.26
21:30,85.84
21:45,81.8
22:00,73.53
22:15,84.52
22:30,76.7
22:45,80.04
23:00,79.33
23:15,79.21
23:30,79.27
23:45,75.72
