Category,Krabi
0:00,78.05
0:15,77.33
0:30,77.23
0:45,77.19
1:00,76.95
1:15,76.7
1:30,72.12
1:45,72.33
2:00,71.76
2:15,71.87
2:30,71.58
2:45,71.81
3:00,71.72
3:15,71.73
3:30,71.77
3:45,71.13
4:00,71.16
4:15,71.67
4:30,71.34
4:45,69.53
5:00,69.58
5:15,70.01
5:30,70.84
5:45,71.07
6:00,71.29
6:15,73.34
6:30,72.28
6:45,72.24
7:00,71.4
7:15,69.67
7:30,69.41
7:45,69.98
8:00,69.83
8:15,79.14
8:30,79.28
8:45,83.87
9:00,86.14
9:15,75.84
9:30,78.97
9:45,80.8
10:00,72.99
10:15,79.61
10:30,80.17
10:45,75.74
11:00,68.68
11:15,68.15
11:30,68.14
11:45,67.96
12:00,66.55
12:15,67.23
12:30,66.86
12:45,86.37
13:00,82.93
13:15,68.56
13:30,79.54
13:45,80.52
14:00,89.89
14:15,90.49
14:30,91.48
14:45,90.69
15:00,90.34
15:15,84.58
15:30,84.37
15:45,83.28
16:00,88.71
16:15,88.37
16:30,89.49
16:45,88.97
17:00,89.17
17:15,87.37
17:30,87.25
17:45,87.87
18:00,89.79
18:15,93.83
18:30,95.94
18:45,96.89
19:00,96.79
19:15,95.99
19:30,90.81
19:45,90.97
20:00,88.03
20:15,86.09
20:30,85.95
20:45,85.89
21:00,86.55
21:15,84.33
21:30,84.09
21:45,83.99
22:00,83.91
22:15,90.34
22:30,86.13
22:45,85.94
23:00,85.61
23:15,85.25
23:30,84.34
23:45,84.27
