Category,Krabi
0:00,74.16
0:15,73.05
0:30,73.48
0:45,73.72
1:00,73.63
1:15,73.4
1:30,73.74
1:45,73.45
2:00,73.64
2:15,73.7
2:30,72.28
2:45,72.31
3:00,72.58
3:15,72.67
3:30,72.85
3:45,72.49
4:00,72.37
4:15,72.44
4:30,68.92
4:45,68.97
5:00,69.21
5:15,70.04
5:30,71.1
5:45,71.62
6:00,72.01
6:15,73.21
6:30,73.78
6:45,73.73
7:00,74.21
7:15,76.58
7:30,76.58
7:45,76.87
8:00,77.69
8:15,84.22
8:30,84.82
8:45,82.42
9:00,85.2
9:15,82.88
9:30,83.11
9:45,87.38
10:00,87.46
10:15,88.52
10:30,88.28
10:45,86.79
11:00,88.56
11:15,86.41
11:30,86.51
11:45,87.28
12:00,85.89
12:15,86.22
12:30,87.7
12:45,87.53
13:00,88.26
13:15,80.85
13:30,90.21
13:45,94.16
14:00,94.02
14:15,93.48
14:30,91.64
14:45,83.78
15:00,93.57
15:15,93.88
15:30,93.9
15:45,93.8
16:00,93.96
16:15,93.24
16:30,93.59
16:45,93.38
17:00,93.37
17:15,93.26
17:30,92.17
17:45,92.92
18:00,91.81
18:15,87.97
18:30,89.14
18:45,90.39
19:00,89.14
19:15,89.94
19:30,89.72
19:45,89.85
20:00,89.48
20:15,89.58
20:30,89.64
20:45,89.71
21:00,89.06
21:15,90.21
21:30,88.75
21:45,89.08
22:00,83.93
22:15,88.1
22:30,87.98
22:45,87.41
23:00,87.35
23:15,82.95
23:30,82.4
23:45,82.33
