Category,Krabi
0:00,81.72
0:15,81.37
0:30,80.61
0:45,76.48
1:00,76.56
1:15,76.37
1:30,76.68
1:45,76.25
2:00,76.27
2:15,76.25
2:30,76.32
2:45,76.51
3:00,76.25
3:15,76.5
3:30,72.33
3:45,72.78
4:00,72.66
4:15,72.65
4:30,72.74
4:45,72.91
5:00,74.02
5:15,74.3
5:30,74.57
5:45,75.09
6:00,79.15
6:15,79.96
6:30,79.88
6:45,80.34
7:00,80.57
7:15,79.54
7:30,77.18
7:45,76.17
8:00,76.12
8:15,81.06
8:30,80.86
8:45,85.96
9:00,84.32
9:15,86.14
9:30,84.86
9:45,86.11
10:00,86.29
10:15,85.8
10:30,86.04
10:45,85.99
11:00,86.1
11:15,86.12
11:30,86.15
11:45,85.53
12:00,85.52
12:15,85.6
12:30,85.94
12:45,85.26
13:00,85.19
13:15,86.1
13:30,86.28
13:45,87.06
14:00,86.3
14:15,86.59
14:30,86.82
14:45,86.81
15:00,86.93
15:15,86.46
15:30,88.2
15:45,87.14
16:00,85.85
16:15,86.21
16:30,86.1
16:45,87.21
17:00,86.12
17:15,86.15
17:30,86.49
17:45,86.72
18:00,86.74
18:15,87.62
18:30,88.57
18:45,94.09
19:00,94.5
19:15,93.49
19:30,93.42
19:45,93.73
20:00,92.41
20:15,92.82
20:30,93.14
20:45,92.2
21:00,91.95
21:15,91.66
21:30,91.64
21:45,88.39
22:00,90.04
22:15,91.57
22:30,87.43
22:45,87.79
23:00,88.15
23:15,87.33
23:30,82.81
23:45,82.32
