Category,Krabi
0:00,78.88
0:15,78.57
0:30,78.42
0:45,78.36
1:00,79.22
1:15,79.03
1:30,78.91
1:45,79.29
2:00,78.74
2:15,78.82
2:30,78.85
2:45,74.77
3:00,74.51
3:15,73.19
3:30,72.51
3:45,72.25
4:00,72.11
4:15,72.02
4:30,72.22
4:45,72.48
5:00,72.57
5:15,72.63
5:30,73.38
5:45,69.31
6:00,74
6:15,80.2
6:30,80.33
6:45,80.35
7:00,79.72
7:15,77.97
7:30,77.46
7:45,77.37
8:00,72.76
8:15,78.56
8:30,80.59
8:45,80.67
9:00,82.23
9:15,79.41
9:30,81.75
9:45,80.69
10:00,80.02
10:15,80.54
10:30,83.83
10:45,83.97
11:00,84.41
11:15,85.31
11:30,83.98
11:45,84.09
12:00,79.29
12:15,79.33
12:30,79.86
12:45,79.74
13:00,79.71
13:15,79.61
13:30,79.17
13:45,79.49
14:00,80.42
14:15,80.62
14:30,80.33
14:45,84.18
15:00,84.17
15:15,85.47
15:30,83.82
15:45,86.63
16:00,87.36
16:15,85.74
16:30,85.33
16:45,86.17
17:00,86.3
17:15,87.78
17:30,87.37
17:45,87.23
18:00,87.99
18:15,86.94
18:30,92.85
18:45,91.2
19:00,90.91
19:15,91.79
19:30,90
19:45,90.9
20:00,89.87
20:15,90.04
20:30,90.16
20:45,84.69
21:00,84.66
21:15,84.28
21:30,84.34
21:45,84.25
22:00,81.41
22:15,82.48
22:30,81.92
22:45,82.04
23:00,77.68
23:15,78.89
23:30,79.08
23:45,79.16
