Category,Krabi
0:00,84.55
0:15,85.78
0:30,84.34
0:45,80.28
1:00,81.64
1:15,79.79
1:30,80.04
1:45,80.29
2:00,80.33
2:15,79.46
2:30,78.88
2:45,74.78
3:00,74.86
3:15,74.84
3:30,74.9
3:45,74.68
4:00,74.77
4:15,74.74
4:30,74.85
4:45,75.16
5:00,75.27
5:15,74.94
5:30,74.64
5:45,75.08
6:00,75.31
6:15,75.59
6:30,74.85
6:45,75.12
7:00,75.65
7:15,75.69
7:30,74.98
7:45,74.37
8:00,74.62
8:15,78.71
8:30,78.42
8:45,83.43
9:00,83.38
9:15,85.95
9:30,85.53
9:45,87.03
10:00,88.35
10:15,89.32
10:30,89.14
10:45,89.37
11:00,90.53
11:15,90.43
11:30,91.67
11:45,90.01
12:00,90.04
12:15,88.76
12:30,87.13
12:45,86.99
13:00,89.29
13:15,91.63
13:30,89.91
13:45,90.3
14:00,90.9
14:15,90.53
14:30,90.42
14:45,91.43
15:00,92
15:15,90.97
15:30,89.14
15:45,88.74
16:00,89.27
16:15,88.78
16:30,90.52
16:45,89.7
17:00,84.27
17:15,83.2
17:30,83.72
17:45,84.58
18:00,85.34
18:15,85.94
18:30,85.86
18:45,90.58
19:00,92.19
19:15,91.29
19:30,91.37
19:45,91.36
20:00,91.53
20:15,90.7
20:30,91.28
20:45,91.24
21:00,89.87
21:15,90.53
21:30,90.31
21:45,89.22
22:00,92.78
22:15,90.3
22:30,90.55
22:45,91.67
23:00,90.24
23:15,91.19
23:30,86.93
23:45,86.77
