Category,Krabi
0:00,87.34
0:15,87.48
0:30,83.18
0:45,82.95
1:00,82.92
1:15,82.94
1:30,82.27
1:45,81.49
2:00,81.47
2:15,77.41
2:30,77.54
2:45,76.15
3:00,76.02
3:15,76
3:30,75.97
3:45,75.56
4:00,75.75
4:15,75.81
4:30,76.31
4:45,76.14
5:00,76.04
5:15,76.73
5:30,76.52
5:45,76.81
6:00,77.32
6:15,78.36
6:30,78.15
6:45,78.12
7:00,77.35
7:15,75
7:30,74.79
7:45,74.45
8:00,73.27
8:15,73.6
8:30,78.5
8:45,78.59
9:00,82.31
9:15,79.78
9:30,79.98
9:45,79.26
10:00,78.73
10:15,79.21
10:30,79.05
10:45,81.27
11:00,84.44
11:15,84.43
11:30,85.34
11:45,84.65
12:00,83.46
12:15,83.76
12:30,84.18
12:45,84.15
13:00,83.13
13:15,83.63
13:30,83.11
13:45,83.26
14:00,84.46
14:15,85.55
14:30,85.61
14:45,84.91
15:00,85.95
15:15,85.63
15:30,85.11
15:45,84.89
16:00,84.93
16:15,84.48
16:30,85.66
16:45,85.75
17:00,85.24
17:15,84.34
17:30,81.46
17:45,81.18
18:00,80.49
18:15,80.39
18:30,80.89
18:45,85.2
19:00,85.29
19:15,85.94
19:30,90.55
19:45,90.4
20:00,89.97
20:15,89.46
20:30,89.29
20:45,89.27
21:00,88.75
21:15,88.26
21:30,88.23
21:45,87.76
22:00,89.57
22:15,97.18
22:30,92.61
22:45,92.12
23:00,93.6
23:15,89.25
23:30,88.76
23:45,88.1
