Category,Krabi
0:00,82.41
0:15,82.31
0:30,77.89
0:45,78.19
1:00,77.68
1:15,77.61
1:30,77.64
1:45,77.61
2:00,77.25
2:15,77.55
2:30,77.78
2:45,77.63
3:00,77.52
3:15,73.19
3:30,73.41
3:45,73.52
4:00,73.61
4:15,73.8
4:30,73.78
4:45,74.1
5:00,73.82
5:15,74.08
5:30,74.65
5:45,75.12
6:00,78.94
6:15,79.46
6:30,80.51
6:45,85.15
7:00,83.89
7:15,81.61
7:30,80.63
7:45,80.29
8:00,79.95
8:15,81.29
8:30,81.49
8:45,81.25
9:00,85.68
9:15,85.64
9:30,86.77
9:45,85.87
10:00,86.75
10:15,85.29
10:30,86.75
10:45,86.89
11:00,88.13
11:15,86.99
11:30,86.93
11:45,86.56
12:00,87.11
12:15,87.29
12:30,86.5
12:45,87
13:00,86.77
13:15,87.08
13:30,88.05
13:45,86.1
14:00,86.12
14:15,86.13
14:30,87.33
14:45,87.11
15:00,86.87
15:15,86.13
15:30,86.52
15:45,87.03
16:00,85.8
16:15,85.14
16:30,84.69
16:45,84.84
17:00,85.84
17:15,87.56
17:30,88.08
17:45,87.03
18:00,86.79
18:15,87.48
18:30,86.56
18:45,87.95
19:00,85.67
19:15,82.07
19:30,81.82
19:45,81.9
20:00,82.2
20:15,82.21
20:30,82.55
20:45,82.46
21:00,83.44
21:15,83.16
21:30,83.2
21:45,83.29
22:00,79.14
22:15,80.64
22:30,80.32
22:45,80.7
23:00,85.44
23:15,84.6
23:30,84.1
23:45,83.87
