Category,Krabi
0:00,86.1
0:15,86.96
0:30,87.55
0:45,88.03
1:00,87.82
1:15,83.68
1:30,83.17
1:45,83.02
2:00,83.12
2:15,83.19
2:30,83.34
2:45,77.35
3:00,79.87
3:15,77.95
3:30,78.12
3:45,78.29
4:00,77.42
4:15,78.68
4:30,78.85
4:45,78.84
5:00,79.23
5:15,79.41
5:30,79.98
5:45,80.25
6:00,81.14
6:15,81.22
6:30,73.74
6:45,73.27
7:00,72.72
7:15,71.08
7:30,74.27
7:45,84.04
8:00,82.35
8:15,88.18
8:30,88.01
8:45,91.94
9:00,92.69
9:15,87.71
9:30,90.54
9:45,90.31
10:00,88.99
10:15,90.96
10:30,90.35
10:45,89.76
11:00,91.04
11:15,90.72
11:30,91.2
11:45,91.87
12:00,90.68
12:15,90.81
12:30,90.94
12:45,91.45
13:00,92.06
13:15,92.42
13:30,87.21
13:45,87.37
14:00,88.32
14:15,89.33
14:30,90.49
14:45,89.62
15:00,88.67
15:15,88.04
15:30,88.19
15:45,88.78
16:00,87.79
16:15,90.89
16:30,89.38
16:45,88.91
17:00,88.1
17:15,87.86
17:30,88.76
17:45,88.47
18:00,87.79
18:15,88.18
18:30,87.71
18:45,87.94
19:00,90.49
19:15,91.33
19:30,91.14
19:45,91.86
20:00,91.61
20:15,91.55
20:30,91.44
20:45,91.08
21:00,90.7
21:15,90.72
21:30,91.02
21:45,90.43
22:00,93.95
22:15,87.23
22:30,87.34
22:45,86.96
23:00,84.64
23:15,84.25
23:30,87.69
23:45,84.57
