Category,Krabi
0:00,87.13
0:15,86.85
0:30,82.47
0:45,82.52
1:00,82.45
1:15,82.04
1:30,82.19
1:45,82.1
2:00,82.2
2:15,82.2
2:30,78.03
2:45,78
3:00,77.77
3:15,77.65
3:30,77.87
3:45,76.94
4:00,76.8
4:15,75.49
4:30,75.46
4:45,75.58
5:00,76.64
5:15,76.98
5:30,77.24
5:45,77.7
6:00,79.8
6:15,79.76
6:30,78.76
6:45,77.93
7:00,77.37
7:15,78.26
7:30,78.28
7:45,78.25
8:00,78.08
8:15,82.25
8:30,70.49
8:45,90.48
9:00,85.1
9:15,90.74
9:30,90.38
9:45,90.57
10:00,90.52
10:15,90.98
10:30,90.97
10:45,90.99
11:00,91.14
11:15,90.93
11:30,90.99
11:45,90.55
12:00,90.8
12:15,91.08
12:30,90.97
12:45,90.76
13:00,90.66
13:15,90.24
13:30,93.27
13:45,93.53
14:00,93.47
14:15,93.15
14:30,93.11
14:45,93.67
15:00,93.67
15:15,89.88
15:30,89.17
15:45,89.42
16:00,89.68
16:15,89.36
16:30,86.34
16:45,86.76
17:00,85.63
17:15,86.17
17:30,85.79
17:45,85.35
18:00,85.5
18:15,85.25
18:30,88.94
18:45,90.13
19:00,93.82
19:15,92.55
19:30,92.47
19:45,92.8
20:00,92.84
20:15,92.76
20:30,91.41
20:45,91.35
21:00,91.03
21:15,89.01
21:30,87.85
21:45,87.6
22:00,91.4
22:15,93.39
22:30,95.22
22:45,89.81
23:00,89.98
23:15,90.41
23:30,89.97
23:45,89.52
