Category,Krabi
0:00,84.94
0:15,84.56
0:30,84.72
0:45,80.69
1:00,79.87
1:15,79.86
1:30,79.93
1:45,80.03
2:00,79.7
2:15,79.96
2:30,79.37
2:45,76.77
3:00,77.12
3:15,76.3
3:30,75.29
3:45,75.6
4:00,75.49
4:15,75.27
4:30,75.3
4:45,76.02
5:00,75.3
5:15,76.53
5:30,76.64
5:45,76.61
6:00,76.97
6:15,72.21
6:30,81.19
6:45,81.01
7:00,81.76
7:15,80.57
7:30,80.89
7:45,72.47
8:00,80.19
8:15,80.78
8:30,82.51
8:45,79.8
9:00,85.56
9:15,78.05
9:30,79.93
9:45,81.47
10:00,82.47
10:15,83.07
10:30,82.17
10:45,81.51
11:00,81.08
11:15,81.91
11:30,78.48
11:45,81.27
12:00,80.79
12:15,81.66
12:30,81.94
12:45,81.72
13:00,82.26
13:15,84.56
13:30,84.99
13:45,85.24
14:00,86.92
14:15,86.7
14:30,90.91
14:45,90.72
15:00,90.39
15:15,89.95
15:30,89.57
15:45,89.19
16:00,89.02
16:15,88.25
16:30,93.08
16:45,94.77
17:00,93.49
17:15,93.13
17:30,92.69
17:45,93.88
18:00,94.51
18:15,100.36
18:30,103.55
18:45,103.52
19:00,104.6
19:15,102.29
19:30,101.6
19:45,101.87
20:00,101.98
20:15,99.16
20:30,98.89
20:45,98.03
21:00,87.27
21:15,100.73
21:30,100.17
21:45,89.59
22:00,97.86
22:15,97.07
22:30,96.51
22:45,93.86
23:00,92.83
23:15,91.86
23:30,92.25
23:45,87.36
