Category,Krabi
0:00,78.05
0:15,77.33
0:30,77.23
0:45,77.19
1:00,76.95
1:15,76.7
1:30,72.12
1:45,72.33
2:00,71.76
2:15,71.87
2:30,71.58
2:45,71.81
3:00,71.72
3:15,71.73
3:30,71.77
3:45,71.13
4:00,71.16
4:15,71.67
4:30,71.34
4:45,69.53
5:00,69.58
5:15,70.01
5:30,70.84
5:45,71.07
6:00,71.29
6:15,73.34
6:30,72.28
6:45,72.24
7:00,71.4
7:15,69.67
7:30,69.41
7:45,69.98
8:00,69.24
8:15,76.6
8:30,82.04
8:45,87.04
9:00,85.96
9:15,84.93
9:30,88.05
9:45,88.46
10:00,89.17
10:15,88.09
10:30,88.52
10:45,88.47
11:00,88.73
11:15,90.29
11:30,90.09
11:45,90.61
12:00,89.25
12:15,89.18
12:30,89.44
12:45,89.44
13:00,97.39
13:15,94.42
13:30,94.07
13:45,90.45
14:00,89.76
14:15,91.84
14:30,91.17
14:45,91.43
15:00,90.15
15:15,90.91
15:30,87.82
15:45,89.84
16:00,90.55
16:15,90.26
16:30,85.77
16:45,85.73
17:00,85.58
17:15,88.48
17:30,85.81
17:45,85.61
18:00,87.72
18:15,89.63
18:30,95.95
18:45,96.35
19:00,96.2
19:15,95.88
19:30,94.6
19:45,93.73
20:00,93.33
20:15,92.81
20:30,92.83
20:45,92.14
21:00,91.68
21:15,91.73
21:30,86.44
21:45,86.04
22:00,87.09
22:15,86.52
22:30,86.34
22:45,85.99
23:00,83.01
23:15,82.5
23:30,81.99
23:45,81.86
