Category,Krabi
0:00,88.37
0:15,88.3
0:30,83.91
0:45,83.59
1:00,83.37
1:15,83.37
1:30,83.37
1:45,83.14
2:00,78.92
2:15,78.94
2:30,79.21
2:45,78.92
3:00,78.87
3:15,78.71
3:30,78.84
3:45,78.78
4:00,78.79
4:15,78.74
4:30,78.03
4:45,77.81
5:00,78.19
5:15,78.57
5:30,79
5:45,78.97
6:00,77.99
6:15,78.84
6:30,78.74
6:45,78.25
7:00,77.63
7:15,76.63
7:30,75.85
7:45,75.9
8:00,75.79
8:15,75.95
8:30,80.23
8:45,79.38
9:00,80.69
9:15,80.56
9:30,81.68
9:45,83.04
10:00,82.4
10:15,81.29
10:30,80.96
10:45,81.83
11:00,82.15
11:15,82.09
11:30,82.02
11:45,81.89
12:00,81.28
12:15,81.29
12:30,81.29
12:45,82.3
13:00,83.92
13:15,83.64
13:30,84.67
13:45,86.97
14:00,85.29
14:15,84.47
14:30,86.56
14:45,84.6
15:00,85.07
15:15,84.75
15:30,83.28
15:45,83.78
16:00,84
16:15,84.32
16:30,84.66
16:45,83.65
17:00,83.42
17:15,80.07
17:30,79.97
17:45,80.49
18:00,80.08
18:15,80.4
18:30,81.73
18:45,86.5
19:00,87.98
19:15,87.08
19:30,86.36
19:45,87.77
20:00,85.56
20:15,85.58
20:30,85.62
20:45,85.06
21:00,84.7
21:15,84.31
21:30,84.18
21:45,84.1
22:00,86.82
22:15,91.2
22:30,90.67
22:45,90.7
23:00,91.02
23:15,86.37
23:30,85.95
23:45,85.59
