Category,Krabi
0:00,81.42
0:15,80.42
0:30,80.25
0:45,79.2
1:00,78
1:15,77.42
1:30,76.75
1:45,75.98
2:00,75.12
2:15,74.35
2:30,65.89
2:45,66.16
3:00,73.86
3:15,72.51
3:30,72.21
3:45,73.16
4:00,71.3
4:15,71.49
4:30,71.19
4:45,71.05
5:00,71.36
5:15,72.62
5:30,73.88
5:45,75.23
6:00,75.81
6:15,77.47
6:30,80.46
6:45,79.56
7:00,77.84
7:15,77.33
7:30,77.24
7:45,76.69
8:00,77.67
8:15,79.79
8:30,81.68
8:45,83.92
9:00,83.64
9:15,85.64
9:30,84.76
9:45,86.08
10:00,87.75
10:15,87.87
10:30,87.91
10:45,87.75
11:00,88.72
11:15,88.13
11:30,87.91
11:45,88.25
12:00,86.3
12:15,85.06
12:30,85.21
12:45,85.1
13:00,85.43
13:15,87.85
13:30,90.02
13:45,90.46
14:00,91.19
14:15,91.34
14:30,91.83
14:45,91.86
15:00,93.18
15:15,92.67
15:30,91.81
15:45,91.54
16:00,91.02
16:15,90.99
16:30,91.07
16:45,90.59
17:00,90.02
17:15,89.43
17:30,91.43
17:45,91.89
18:00,92.9
18:15,96.21
18:30,100.86
18:45,103.65
19:00,102.85
19:15,102.08
19:30,100.86
19:45,100.04
20:00,99.08
20:15,96.64
20:30,95.37
20:45,94.39
21:00,92.44
21:15,92.1
21:30,90.57
21:45,90.17
22:00,92.43
22:15,93.04
22:30,91.18
22:45,87.28
23:00,86.17
23:15,83.78
23:30,83.37
23:45,82.29
