Category,Krabi,NakhonSiThammarat,PhangNga,Phuket,SuratThani,Trang,Total,Peak(2017-04-22),Yesterday
0:00,75.71,183.09,70.71,260.07,314.37,87.45,991.4,999.39,1078.58
0:15,77.12,180.24,69.27,255.32,312.22,86.22,980.39,988.15,1072.01
0:30,77.07,176.29,68.78,252.62,318.01,86.82,979.59,963.08,1066.43
0:45,73.99,174.76,68.17,250.72,314.36,87.01,969.01,951,1053.09
1:00,73.47,174.84,68.11,248.58,308.29,85.73,959.02,945.59,1037.31
1:15,74.36,173.73,67.42,243.09,305.44,85.08,949.12,936.75,1033.04
1:30,74.47,173.21,67.47,239.4,305.3,82.07,941.92,931.97,1020.64
1:45,74.49,173.61,67.08,235.18,302.96,81.51,934.83,926.75,1017.38
2:00,74.45,172.22,66.4,234.73,301.46,82.87,932.13,923.48,1013.62
2:15,74.45,169.05,66.67,232.67,302.2,82.78,927.82,920.02,1012.6
2:30,74.62,169.79,65.88,233.73,302.92,82.42,929.36,912.86,1007.78
2:45,74.8,169.18,65.59,230.6,300.22,81.26,921.65,909.91,999.44
3:00,74.98,169,65.75,227.95,298.89,81.44,918.01,908.46,991.5
3:15,74.68,166.08,66.09,221.68,305.06,80.53,914.12,897.05,989.04
3:30,74.18,168.3,65.59,222.28,303.7,79.77,913.82,891.78,981.1
3:45,73.47,177.69,65.54,222.74,297.4,80.59,917.43,887.43,980.23
4:00,73.63,173.4,66.17,219.56,301.85,80.59,915.2,895.1,975.76
4:15,70.66,178.42,66.05,221.4,301.06,80.74,918.33,899.51,981.42
4:30,70.78,179.08,66.45,219.9,299.94,81.14,917.29,898.12,979.38
4:45,69.63,180.67,66.69,221.08,301.11,82.38,921.56,897.76,984.64
5:00,69.67,187.06,67.91,223.28,303.83,82.44,934.19,897.95,991.23
5:15,71.3,177.15,68.62,225.39,311.75,84.95,939.16,905.48,1005.88
5:30,71.27,182.48,69.69,226.56,315.94,86.22,952.16,913.1,1019.7
