Category,Krabi
0:00,92.96
0:15,88.67
0:30,88.68
0:45,88.11
1:00,87.14
1:15,86.81
1:30,82.84
1:45,82.82
2:00,82.8
2:15,82.85
2:30,83.08
2:45,82.66
3:00,83.18
3:15,79.09
3:30,78.93
3:45,79.05
4:00,79.35
4:15,79.04
4:30,78.54
4:45,78.09
5:00,78.27
5:15,78.34
5:30,78.68
5:45,77.49
6:00,77.58
6:15,76.83
6:30,76.67
6:45,76.91
7:00,77.01
7:15,79.62
7:30,77.64
7:45,76.78
8:00,74.99
8:15,79.17
8:30,79.61
8:45,82.92
9:00,83.99
9:15,86.07
9:30,86.62
9:45,88.18
10:00,90.1
10:15,87.44
10:30,92.68
10:45,92.24
11:00,92.06
11:15,92.37
11:30,92.32
11:45,92.44
12:00,92.75
12:15,92.73
12:30,92.76
12:45,93.08
13:00,93.05
13:15,93.61
13:30,93.56
13:45,94.07
14:00,94.94
14:15,94.69
14:30,94.17
14:45,95.59
15:00,96.32
15:15,93.45
15:30,92.95
15:45,92.73
16:00,92.44
16:15,95.27
16:30,95.32
16:45,97.6
17:00,98.51
17:15,94.89
17:30,94.7
17:45,94.74
18:00,95.22
18:15,94.12
18:30,94.57
18:45,94.12
19:00,95.73
19:15,97.68
19:30,97.69
19:45,97.74
20:00,97.78
20:15,97.68
20:30,97.6
20:45,94.83
21:00,94.73
21:15,95.41
21:30,94.14
21:45,94.22
22:00,98.69
22:15,100.81
22:30,98.16
22:45,99.05
23:00,98.17
23:15,96.45
23:30,97.3
23:45,96.92
