Category,Krabi
0:00,83.09
0:15,82.32
0:30,82.54
0:45,82.59
1:00,77.67
1:15,77.55
1:30,77.94
1:45,77.76
2:00,78.03
2:15,77.85
2:30,77.7
2:45,77.95
3:00,78.63
3:15,78.46
3:30,77.34
3:45,72.77
4:00,73.02
4:15,73.35
4:30,73.46
4:45,74.15
5:00,73.79
5:15,74.05
5:30,74.83
5:45,74.96
6:00,74.85
6:15,75.18
6:30,75.2
6:45,74.48
7:00,74.1
7:15,73.78
7:30,73.31
7:45,73.62
8:00,72.35
8:15,75.83
8:30,74.45
8:45,74.09
9:00,72.73
9:15,77.83
9:30,77.22
9:45,75.52
10:00,75.92
10:15,77.06
10:30,77.71
10:45,77.79
11:00,80.15
11:15,84.7
11:30,80.54
11:45,81.75
12:00,77.71
12:15,77.74
12:30,82.19
12:45,80.95
13:00,80.93
13:15,82.09
13:30,82.23
13:45,81.26
14:00,81.23
14:15,81.71
14:30,81.81
14:45,83.77
15:00,82.6
15:15,82.65
15:30,83.05
15:45,84.16
16:00,82.31
16:15,81.94
16:30,83.68
16:45,83.91
17:00,84.22
17:15,85.65
17:30,84.64
17:45,85.03
18:00,84.42
18:15,86.71
18:30,86.7
18:45,92.21
19:00,91.76
19:15,92.51
19:30,92.07
19:45,91.66
20:00,91.55
20:15,91.47
20:30,91.16
20:45,91.13
21:00,91.15
21:15,91.16
21:30,91.01
21:45,86.31
22:00,86.03
22:15,92.36
22:30,92.66
22:45,88.62
23:00,88.31
23:15,87.39
23:30,86.97
23:45,86.61
