Category,Krabi
0:00,76.96
0:15,77.01
0:30,74.83
0:45,74.89
1:00,75.05
1:15,73.42
1:30,73.53
1:45,73.37
2:00,73.55
2:15,73.74
2:30,74.27
2:45,74.25
3:00,73.97
3:15,73.98
3:30,73.66
3:45,73.88
4:00,73.14
4:15,72.67
4:30,72.99
4:45,73.14
5:00,73.45
5:15,73.59
5:30,73.87
5:45,74.23
6:00,74.86
6:15,76.86
6:30,77.51
6:45,76.22
7:00,76.2
7:15,75.02
7:30,74.33
7:45,73.8
8:00,74.56
8:15,79.02
8:30,79.43
8:45,79.91
9:00,80.47
9:15,80.63
9:30,80.18
9:45,81.6
10:00,82.21
10:15,81.16
10:30,80.16
10:45,81.05
11:00,80.81
11:15,81.36
11:30,81.73
11:45,31.2
12:00,74
12:15,78.53
12:30,81.2
12:45,80.94
13:00,81.15
13:15,81.04
13:30,81.95
13:45,85.35
14:00,81.62
14:15,80.72
14:30,80.83
14:45,81.49
15:00,80.99
15:15,85.54
15:30,85.22
15:45,93.54
16:00,89.72
16:15,89.27
16:30,88.57
16:45,88.77
17:00,86.03
17:15,88.56
17:30,88.1
17:45,84.6
18:00,82.45
18:15,77.89
18:30,78.12
18:45,81.53
19:00,81.93
19:15,82.11
19:30,82.96
19:45,81.64
20:00,82.76
20:15,81.43
20:30,83.82
20:45,83.94
21:00,83.64
21:15,82.88
21:30,82.73
21:45,82.15
22:00,88.14
22:15,83.98
22:30,83.8
22:45,83.75
23:00,84.98
23:15,84.57
23:30,80.22
23:45,79.4
