Category,Krabi
0:00,87.04
0:15,84.21
0:30,84.28
0:45,83.96
1:00,83.04
1:15,81.57
1:30,82.05
1:45,81.87
2:00,81.62
2:15,82.07
2:30,82.23
2:45,81.38
3:00,81.73
3:15,80.95
3:30,80.68
3:45,80.34
4:00,80.68
4:15,80.35
4:30,82.61
4:45,77.41
5:00,78.25
5:15,78.46
5:30,78.64
5:45,78.2
6:00,82.71
6:15,83.49
6:30,84.44
6:45,83.44
7:00,82.46
7:15,81.99
7:30,81.44
7:45,80.71
8:00,81.66
8:15,84.37
8:30,88.45
8:45,86.53
9:00,88.37
9:15,87.23
9:30,85.51
9:45,89.7
10:00,89.91
10:15,89.13
10:30,90
10:45,90.8
11:00,90.4
11:15,90.45
11:30,90.08
11:45,90.47
12:00,90.78
12:15,89.58
12:30,89.74
12:45,89.43
13:00,89.56
13:15,90.49
13:30,97.18
13:45,96.96
14:00,98.07
14:15,97.93
14:30,100.19
14:45,96.88
15:00,99.95
15:15,97.57
15:30,96.22
15:45,95.48
16:00,94.78
16:15,92.08
16:30,92.56
16:45,92.03
17:00,92.33
17:15,92.05
17:30,89.46
17:45,89.52
18:00,89.94
18:15,85.98
18:30,98.72
18:45,99.57
19:00,97.96
19:15,98.83
19:30,99.06
19:45,97.7
20:00,97.27
20:15,97.7
20:30,97.37
20:45,93.59
21:00,93.12
21:15,92.88
21:30,92.61
21:45,92.51
22:00,96.02
22:15,94.68
22:30,95.25
22:45,94.98
23:00,94.43
23:15,89.92
23:30,89.7
23:45,89.76
