Category,Krabi
0:00,79.33
0:15,77.71
0:30,77.49
0:45,76.92
1:00,73.99
1:15,73.5
1:30,73.58
1:45,72.89
2:00,72.77
2:15,72.73
2:30,72.04
2:45,69.96
3:00,70.02
3:15,70.23
3:30,70.74
3:45,70.93
4:00,71.51
4:15,71.91
4:30,72.39
4:45,72.16
5:00,72.1
5:15,72.27
5:30,72.76
5:45,72.99
6:00,73.59
6:15,78.16
6:30,78.95
6:45,81.33
7:00,81.22
7:15,79.95
7:30,78.57
7:45,79.01
8:00,78.37
8:15,78.25
8:30,78.94
8:45,84.77
9:00,83.37
9:15,82.13
9:30,82.06
9:45,81.74
10:00,84.53
10:15,83.91
10:30,84.92
10:45,84.54
11:00,85.51
11:15,84.44
11:30,83.52
11:45,84.4
12:00,84.31
12:15,83.79
12:30,83.97
12:45,83.52
13:00,83.84
13:15,84.99
13:30,84.71
13:45,83.89
14:00,88.33
14:15,88.43
14:30,88.67
14:45,88.37
15:00,88.63
15:15,88.31
15:30,88.08
15:45,88.54
16:00,90.56
16:15,90.97
16:30,90.89
16:45,84.36
17:00,84.68
17:15,85.21
17:30,85.63
17:45,86.91
18:00,86.43
18:15,91.02
18:30,96.08
18:45,96.48
19:00,93.32
19:15,92.64
19:30,91.75
19:45,92.88
20:00,92.51
20:15,90.93
20:30,89.41
20:45,88.97
21:00,88.85
21:15,85.33
21:30,84.86
21:45,84.97
22:00,84.94
22:15,88.29
22:30,84
22:45,83.78
23:00,82
23:15,82.32
23:30,79.84
23:45,79.6
