Category,Krabi
0:00,89.76
0:15,88.43
0:30,87.24
0:45,86.51
1:00,85.81
1:15,84.94
1:30,83.53
1:45,83.9
2:00,82.79
2:15,81.42
2:30,80.62
2:45,79.74
3:00,80.48
3:15,79.61
3:30,78.62
3:45,78.12
4:00,77.21
4:15,77.05
4:30,76.72
4:45,76.74
5:00,77.28
5:15,78.01
5:30,78.96
5:45,79.37
6:00,80.38
6:15,80.78
6:30,82.38
6:45,82.57
7:00,81.22
7:15,81.71
7:30,81.31
7:45,80.77
8:00,80.66
8:15,83.52
8:30,86.99
8:45,89.73
9:00,91.1
9:15,90.59
9:30,91.57
9:45,92.66
10:00,93.53
10:15,95.43
10:30,94.93
10:45,95.46
11:00,94.74
11:15,96.35
11:30,96.95
11:45,96.52
12:00,95.43
12:15,94.95
12:30,88.35
12:45,95.36
13:00,89.79
13:15,93.85
13:30,94.52
13:45,95
14:00,92.55
14:15,93.01
14:30,93.81
14:45,94.75
15:00,94.62
15:15,94.73
15:30,96.35
15:45,96.01
16:00,93.31
16:15,94.83
16:30,82.59
16:45,92.43
17:00,93.02
17:15,92.49
17:30,92.01
17:45,92.78
18:00,93.28
18:15,94.09
18:30,96.53
18:45,99.59
19:00,101.52
19:15,102.26
19:30,101.54
19:45,101.53
20:00,101.52
20:15,101.09
20:30,99.62
20:45,99.39
21:00,98.64
21:15,98.37
21:30,98.36
21:45,98.06
22:00,97.59
22:15,98.73
22:30,97.28
22:45,96.05
23:00,93.57
23:15,91.76
23:30,90.24
23:45,89.21
