Category,Krabi
0:00,79.26
0:15,78.76
0:30,78.48
0:45,78.47
1:00,78.23
1:15,78
1:30,77.91
1:45,77.9
2:00,74.06
2:15,74.21
2:30,74.17
2:45,74.2
3:00,74.34
3:15,74.33
3:30,74.17
3:45,74.1
4:00,74.08
4:15,74.26
4:30,74.44
4:45,74.58
5:00,74.73
5:15,74.99
5:30,75.42
5:45,75.76
6:00,76.14
6:15,80.59
6:30,80.74
6:45,81.02
7:00,84.93
7:15,82.32
7:30,81.64
7:45,81.22
8:00,81.28
8:15,80.91
8:30,82.96
8:45,79.09
9:00,83.75
9:15,83.58
9:30,83.66
9:45,81.31
10:00,80.88
10:15,84.8
10:30,83.45
10:45,83.07
11:00,83.35
11:15,83.31
11:30,83.49
11:45,82.59
12:00,84.82
12:15,83.38
12:30,83.14
12:45,83.03
13:00,82.48
13:15,83.86
13:30,84.01
13:45,83.73
14:00,83.51
14:15,82.97
14:30,83.15
14:45,83.12
15:00,82.67
15:15,84
15:30,83.85
15:45,83.5
16:00,83.76
16:15,83.8
16:30,83.47
16:45,83.78
17:00,83.67
17:15,84.11
17:30,83.9
17:45,83.75
18:00,85.64
18:15,87.1
18:30,90.06
18:45,92.08
19:00,92.9
19:15,97.48
19:30,97.56
19:45,97.44
20:00,96.12
20:15,97.02
20:30,96.79
20:45,95.27
21:00,94.85
21:15,90.59
21:30,90.96
21:45,90.85
22:00,94.42
22:15,97.83
22:30,93.33
22:45,93.45
23:00,93.22
23:15,88.44
23:30,88.12
23:45,87.52
