Category,Krabi
0:00,92.27
0:15,92.21
0:30,92.29
0:45,87.36
1:00,87.3
1:15,87.31
1:30,87.18
1:45,87.06
2:00,86.94
2:15,87.27
2:30,87.4
2:45,87.35
3:00,83
3:15,82.96
3:30,82.93
3:45,82.53
4:00,81.65
4:15,81.62
4:30,81.8
4:45,81.74
5:00,82.23
5:15,83.87
5:30,84.29
5:45,84.84
6:00,85.6
6:15,86.11
6:30,86.67
6:45,85.7
7:00,83.74
7:15,81.78
7:30,80.92
7:45,81.97
8:00,81.66
8:15,80.5
8:30,85.8
8:45,86.38
9:00,85.2
9:15,83.98
9:30,83.11
9:45,83.18
10:00,83.62
10:15,83.01
10:30,84.67
10:45,83.01
11:00,82.9
11:15,82.99
11:30,82.65
11:45,82.97
12:00,81.32
12:15,80.24
12:30,80.93
12:45,89.22
13:00,81.61
13:15,81.79
13:30,82.36
13:45,81.06
14:00,35.29
14:15,44.62
14:30,64.59
14:45,69.69
15:00,74.04
15:15,71.89
15:30,71.68
15:45,72.38
16:00,72.05
16:15,71.97
16:30,71.67
16:45,75.8
17:00,75.68
17:15,75.42
17:30,75.21
17:45,74.81
18:00,73.95
18:15,74.71
18:30,76.44
18:45,75.83
19:00,79.16
19:15,79.37
19:30,79.71
19:45,79.95
20:00,79.43
20:15,78.67
20:30,78.91
20:45,79.03
21:00,78.29
21:15,78.43
21:30,76.53
21:45,76.84
22:00,79.75
22:15,83.95
22:30,83.97
22:45,79.97
23:00,81.4
23:15,80.93
23:30,76.17
23:45,75.61
