Category,Krabi
0:00,86.51
0:15,86.6
0:30,82.22
0:45,82.03
1:00,81.59
1:15,81.3
1:30,81.29
1:45,83.73
2:00,81.34
2:15,77.19
2:30,77.34
2:45,77.67
3:00,77.4
3:15,77.41
3:30,77.1
3:45,77.17
4:00,77.2
4:15,77.04
4:30,76.44
4:45,76.01
5:00,75.98
5:15,76.57
5:30,76.39
5:45,76.63
6:00,77.2
6:15,78.45
6:30,78.24
6:45,78.33
7:00,77.9
7:15,77.96
7:30,82.69
7:45,81.28
8:00,81.37
8:15,83.59
8:30,82.43
8:45,84.35
9:00,88.64
9:15,86.75
9:30,83.5
9:45,82.86
10:00,86.99
10:15,86.78
10:30,87.3
10:45,89.5
11:00,88.51
11:15,84.21
11:30,87.77
11:45,87.88
12:00,86.56
12:15,86.15
12:30,85.93
12:45,85.72
13:00,85.79
13:15,86.22
13:30,89.08
13:45,89.28
14:00,89.33
14:15,91.56
14:30,96.62
14:45,96.31
15:00,96.78
15:15,93.36
15:30,83.62
15:45,82.45
16:00,81.98
16:15,89.04
16:30,84.74
16:45,84.38
17:00,89.86
17:15,89.59
17:30,91.48
17:45,91.67
18:00,90.51
18:15,90.5
18:30,90.98
18:45,91
19:00,95.88
19:15,95.49
19:30,95.86
19:45,96.06
20:00,97.77
20:15,95.9
20:30,95.98
20:45,95.02
21:00,94.69
21:15,94.97
21:30,88.69
21:45,88.35
22:00,91.3
22:15,92.59
22:30,91.3
22:45,93.92
23:00,87.1
23:15,86.66
23:30,89.11
23:45,87.91
