Category,Krabi
0:00,85.53
0:15,85.26
0:30,85.28
0:45,84.75
1:00,84.73
1:15,84.57
1:30,80.76
1:45,80
2:00,79.12
2:15,80.86
2:30,80.77
2:45,81.2
3:00,79.34
3:15,79.49
3:30,79.39
3:45,79.56
4:00,79.81
4:15,79.82
4:30,79.77
4:45,79.94
5:00,80.04
5:15,80.26
5:30,80.84
5:45,81.25
6:00,82.48
6:15,82.53
6:30,81.11
6:45,80.53
7:00,79.94
7:15,80.21
7:30,80.02
7:45,79.75
8:00,79.85
8:15,79.15
8:30,83.35
8:45,83.86
9:00,87.26
9:15,85.77
9:30,84.98
9:45,83.88
10:00,90.24
10:15,91.38
10:30,96.79
10:45,87.46
11:00,87.86
11:15,86.91
11:30,86.73
11:45,88.56
12:00,88.54
12:15,89.29
12:30,83.59
12:45,83.14
13:00,83.37
13:15,86.29
13:30,87.58
13:45,91.82
14:00,91.78
14:15,90.17
14:30,90.4
14:45,89.51
15:00,89.76
15:15,89.3
15:30,89.31
15:45,76.24
16:00,80.38
16:15,81.24
16:30,84.84
16:45,84.7
17:00,84.78
17:15,85.38
17:30,84.96
17:45,84.45
18:00,84.39
18:15,84.72
18:30,85.16
18:45,89.7
19:00,89.53
19:15,89.7
19:30,89.8
19:45,88.81
20:00,88.47
20:15,88.78
20:30,88.97
20:45,87.9
21:00,87.93
21:15,87.99
21:30,87.44
21:45,86.75
22:00,89.55
22:15,94.14
22:30,95.14
22:45,90.67
23:00,89.52
23:15,88.89
23:30,88.48
23:45,88.91
