Category,Krabi
0:00,82.84
0:15,82.74
0:30,78.7
0:45,70.83
1:00,77.01
1:15,76.19
1:30,75.78
1:45,75.56
2:00,75.17
2:15,66.56
2:30,72.62
2:45,71.81
3:00,72.35
3:15,72.03
3:30,71.96
3:45,64.36
4:00,71.85
4:15,71.92
4:30,71.26
4:45,63.8
5:00,71.3
5:15,64.64
5:30,72.08
5:45,74.85
6:00,75.2
6:15,76.48
6:30,80.44
6:45,80.41
7:00,79.75
7:15,78.08
7:30,77.91
7:45,71.49
8:00,79.36
8:15,78.65
8:30,71.79
8:45,83.11
9:00,84.71
9:15,81.14
9:30,72.78
9:45,75.05
10:00,74.66
10:15,81.88
10:30,81.52
10:45,81.28
11:00,80.98
11:15,73.01
11:30,72.82
11:45,74.35
12:00,74.16
12:15,73.7
12:30,72.97
12:45,73.13
13:00,73.63
13:15,74.92
13:30,74.13
13:45,74.33
14:00,73.79
14:15,81.95
14:30,81.6
14:45,79.92
15:00,72.27
15:15,74.56
15:30,74.24
15:45,73.51
16:00,74.4
16:15,74.08
16:30,74.76
16:45,83.49
17:00,84.26
17:15,85.27
17:30,77.02
17:45,86.6
18:00,86.76
18:15,90.63
18:30,82.52
18:45,84.94
19:00,84.35
19:15,81.63
19:30,80.89
19:45,78.77
20:00,75.89
20:15,83.54
20:30,83.24
20:45,81.29
21:00,80.41
21:15,77.23
21:30,77.15
21:45,76.98
22:00,74.82
22:15,79.46
22:30,78.18
22:45,68.78
23:00,68.71
23:15,68.17
23:30,67.89
23:45,63.23
