Category,Krabi
0:00,77.2
0:15,76.87
0:30,76.96
0:45,72.87
1:00,72.48
1:15,72.57
1:30,73.02
1:45,68.51
2:00,73.75
2:15,73.06
2:30,73.45
2:45,73.93
3:00,71.76
3:15,72.28
3:30,71.9
3:45,72.12
4:00,71.74
4:15,72.31
4:30,73.04
4:45,72.11
5:00,72.83
5:15,72.69
5:30,73
5:45,73.37
6:00,74.33
6:15,74.97
6:30,75.52
6:45,74.04
7:00,73.69
7:15,73.83
7:30,73.01
7:45,75.08
8:00,74.22
8:15,73.88
8:30,77.61
8:45,76.78
9:00,77.79
9:15,78.58
9:30,78.51
9:45,81.4
10:00,83.78
10:15,82.34
10:30,83.76
10:45,83.33
11:00,83.61
11:15,84.71
11:30,84.91
11:45,86.05
12:00,83.8
12:15,81.95
12:30,82.15
12:45,81.62
13:00,81.13
13:15,80.56
13:30,81.2
13:45,81.88
14:00,81.94
14:15,83.35
14:30,83.07
14:45,83.38
15:00,81.73
15:15,83.06
15:30,83
15:45,83.08
16:00,85.88
16:15,82.54
16:30,83.09
16:45,83.21
17:00,83.69
17:15,83.65
17:30,83.51
17:45,84.85
18:00,83.61
18:15,83.61
18:30,83.67
18:45,88.52
19:00,88.91
19:15,88.89
19:30,88.83
19:45,89.56
20:00,89
20:15,88.34
20:30,88.07
20:45,86.76
21:00,82.41
21:15,81.61
21:30,81.83
21:45,79.44
22:00,81.21
22:15,83.14
22:30,82.81
22:45,82.56
23:00,82.08
23:15,77.31
23:30,76.91
23:45,76.76
